223,Gavin Bazunu,GK,Southampton,20,2002
224,Bebé,FW,Rayo Vallecano,32,1990
225,Ihlas Bebou,FWDF,Hoffenheim,28,1994
226,Rodrigo Becão,DF,Udinese,27,1996
227,Mads Bech Sørensen,DFMF,Brentford,24,1999
228,Julius Beck,MF,Spezia,17,2005
229,Sheraldo Becker,FW,Union Berlin,28,1995
230,Jan Bednarek,DF,Southampton,26,1996
231,Jan Bednarek,DF,Aston Villa,26,1996
232,Donny van de Beek,MF,Manchester Utd,25,1997
233,Asmir Begovi?,GK,Everton,35,1987
234,Yanis Begraoui,FWMF,Toulouse,21,2001
235,Kevin Behrens,FW,Union Berlin,32,1991
236,Alexis Beka Beka,MF,Nice,21,2001
237,Jérémie Bela,DFMF,Clermont Foot,29,1993
238,Youcef Belaïli,MFFW,Ajaccio,30,1992
239,Youcef Belaïli,FWMF,Brest,30,1992
240,Haris Belkebla,MF,Brest,29,1994
241,Stefan Bell,DF,Mainz 05,31,1991
242,Armel Bella Kotchap,DF,Southampton,21,2001
243,Raoul Bellanova,DFMF,Inter,22,2000
244,Karim Bellarabi,FW,Leverkusen,32,1990
245,Jean-Ricner Bellegarde,MF,Strasbourg,24,1998
246,Héctor Bellerín,DF,Barcelona,27,1995
247,Jude Bellingham,MF,Dortmund,19,2003
248,Jeanöel Belocian,DF,Rennes,17,2005
249,Andrea Belotti,FW,Roma,29,1993
250,Fran Beltrán,MF,Celta Vigo,24,1999
251,Eliesse Ben Seghir,FW,Monaco,17,2005
252,Salim Ben Seghir,MF,Marseille,19,2003
253,Wissam Ben Yedder,FW,Monaco,32,1990
254,Marco Benassi,DF,Fiorentina,28,1994
255,Marco Benassi,MF,Cremonese,28,1994
256,Ismaël Bennacer,MF,Milan,25,1997
257,Saïd Benrahma,FWMF,West Ham,27,1995
258,Ramy Bensebaini,DF,M'Gladbach,27,1995
259,Nabil Bentaleb,MF,Angers,28,1994
260,Rodrigo Bentancur,MF,Tottenham,25,1997
261,Karim Benzema,FW,Real Madrid,35,1987
262,Domenico Berardi,FW,Sassuolo,28,1994
263,Yuri Berchiche,DF,Athletic Club,33,1990
264,Álex Berenguer,FW,Athletic Club,27,1995
265,Bartosz Bereszy?ski,DF,Sampdoria,30,1992
266,Patrick Berg,MFFW,Lens,25,1997
267,Mitchell van Bergen,FWDF,Reims,23,1999
268,Mergim Berisha,FW,Augsburg,24,1998
269,Quentin Bernard,DF,Auxerre,33,1989
270,Paul Bernardoni,GK,Angers,25,1997
271,Juan Bernat,DF,Paris S-G,29,1993
272,Victor Bernth Kristiansen,DF,Leicester City,20,2002
273,Jason Berthomier,MF,Clermont Foot,33,1990
274,Beto,FW,Udinese,25,1998
275,Owen Bevan,DF,Bournemouth,19,2003
276,Matteo Bianchetti,DF,Cremonese,29,1993
277,Alessandro Bianco,MF,Fiorentina,20,2002
278,Giulian Biancone,DF,Nott'ham Forest,22,2000
279,Ermin Bi?ak?i?,DF,Hoffenheim,33,1990
280,Pedro Bigas,DF,Elche,32,1990
281,Jaka Bijol,DF,Udinese,24,1999
282,El Bilal Touré,FW,Almería,21,2001
283,El Bilal Touré,FW,Reims,21,2001
284,Philip Billing,MFFW,Bournemouth,26,1996
285,Jean-Claude Billong,MF,Clermont Foot,29,1993
286,Cristiano Biraghi,DF,Fiorentina,30,1992
287,Samuele Birindelli,DF,Monza,23,1999
288,Veljko Birman?evi?,FWMF,Toulouse,24,1998
289,Tom Bischof,MFFW,Hoffenheim,17,2005
290,Yves Bissouma,MF,Tottenham,26,1996
291,Kristijan Bistrovi?,MF,Lecce,24,1998
292,Leonardo Bittencourt,MFDF,Werder Bremen,29,1993
293,Marco Bizot,GK,Brest,31,1991
294,Blanco,MF,Cádiz,22,2000
295,Lautaro Blanco,MFDF,Elche,23,1999
296,Rubén Blanco,GK,Marseille,27,1995
297,Ludovic Blas,MFFW,Nantes,25,1997
298,Janis Blaswich,GK,RB Leipzig,31,1991
299,Miha Bla?i?,DF,Angers,29,1993
300,Joaquín Blázquez,GK,Brest,22,2001
301,Alexis Blin,MFDF,Lecce,26,1996
302,Daley Blind,MFDF,Bayern Munich,32,1990
303,Myron Boadu,FW,Monaco,22,2001
304,Jérôme Boateng,DF,Lyon,34,1988
305,Kevin-Prince Boateng,MF,Hertha BSC,35,1987
306,Antonin Bobichon,MF,Angers,27,1995
307,Jean-Paul Boëtius,MF,Hertha BSC,28,1994
308,Jeremie Boga,MFFW,Atalanta,26,1997
309,Emil Bohinen,MF,Salernitana,23,1999
310,Quentin Boisgard,MF,Lorient,25,1997
311,Willy Boly,DF,Nott'ham Forest,32,1991
312,Giacomo Bonaventura,MF,Fiorentina,33,1989
313,Federico Bonazzoli,FW,Salernitana,25,1997
314,Warren Bondo,MF,Monza,19,2003
