65,1,0,15,0,0,5,5,0,0,0,10,0,0
66,14,9,747,0,0.36,36.6,44.5,0,0.36,0.72,52.4,0.24,0
67,8,3,317,0,3.14,13.1,20.9,0.57,0.57,0.57,39.7,0.29,0
68,9,0,123,0,1.43,30.7,40.7,0,0.71,0,56.4,0,0
69,20,20,1800,0,0,31.8,37.1,0.05,0,0.6,39.5,0,0
70,21,13,1220,1,1.4,24.3,31.2,0,0.66,0.66,43.8,0.15,0
71,2,0,40,0,0,30,37.5,0,0,0,50,0,0
72,18,14,1255,2,0.79,40.1,49.2,0.22,0.72,0.58,59,0.14,0
73,22,22,1816,10,2.33,29.3,35.5,0.05,0.35,0.45,47.3,0.05,0
74,12,6,620,1,0.43,73.6,80.7,0,0.87,2.32,89.3,0.14,0
75,17,9,854,0,0.74,32.3,50.6,0,2.21,2.21,62.2,0.11,0
76,1,1,58,0,0,26.7,41.7,0,1.67,3.33,50,1.67,0
77,1,0,10,0,0,0,0,0,0,0,0,10,0
78,10,5,571,2,0.32,21.1,32.2,0,1.43,2.7,42.4,0.32,0.16
79,16,5,578,4,2.97,24.7,31.3,0,0,0.16,40.9,0,0
80,16,1,296,1,3.33,15.8,19.7,0.3,0.91,0.91,36.1,0.3,0
81,18,18,1565,1,0.34,44.3,54.1,0.06,2.13,3.74,64.4,0.17,0.06
82,6,4,401,0,0.44,33.8,38.9,0,1.78,4,49.3,0.44,0
83,17,15,1365,0,0.2,57.5,62.8,0,0.53,3.82,71.8,0.07,0
84,14,3,494,1,1.82,16.7,21.6,0,0.36,0.36,34.7,0.36,0
85,4,1,193,0,0,24.3,45.7,0,1.9,3.33,56.2,0.95,0.48
86,15,11,1049,0,0.77,29.8,39.8,0.09,1.11,3.5,50.2,0.26,0
87,1,1,58,0,0,18.3,26.7,0,0,6.67,33.3,1.67,0
88,10,10,790,0,0.57,36.7,47.6,0.11,1.25,2.39,58,0.57,0
89,15,5,636,2,1.69,37,44.2,0.14,0.42,1.27,53.7,0.42,0
90,16,16,1360,0,0.79,36.4,48.7,0.07,1.19,2.05,59.8,0.33,0
